no,kota,kode_wilayah,provinsi
423,Kabupaten Sigi,72.10,Sulawesi Tengah
424,Kabupaten Sijunjung,13.03,Sumatera Barat
425,Kabupaten Sikka,53.07,Nusa Tenggara Timur (NTT)
426,Kabupaten Simalungun,12.08,Sumatera Utara
427,Kabupaten Simeulue,11.09,Aceh (NAD)
428,Kota Singkawang,61.72,Kalimantan Barat
429,Kabupaten Sinjai,73.07,Sulawesi Selatan
430,Kabupaten Sintang,61.05,Kalimantan Barat
431,Kabupaten Situbondo,35.12,Jawa Timur
432,Kabupaten Sleman,34.04,DI Yogyakarta
433,Kabupaten Solok,13.02,Sumatera Barat
434,Kota Solok,13.72,Sumatera Barat
435,Kabupaten Solok Selatan,13.11,Sumatera Barat
436,Kabupaten Soppeng,73.12,Sulawesi Selatan
437,Kabupaten Sorong,92.01,Papua Barat Daya
438,Kota Sorong,92.71,Papua Barat Daya
439,Kabupaten Sorong Selatan,92.04,Papua Barat Daya
440,Kabupaten Sragen,33.14,Jawa Tengah
441,Kabupaten Subang,32.13,Jawa Barat
442,Kota Subulussalam,11.75,Aceh (NAD)
443,Kota Sukabumi,32.72,Jawa Barat
444,Kabupaten Sukabumi,32.02,Jawa Barat
445,Kabupaten Sukamara,62.08,Kalimantan Tengah
446,Kabupaten Sukoharjo,33.11,Jawa Tengah
447,Kabupaten Sumba Barat,53.12,Nusa Tenggara Timur (NTT)
448,Kabupaten Sumba Barat Daya,53.18,Nusa Tenggara Timur (NTT)
449,Kabupaten Sumba Tengah,53.17,Nusa Tenggara Timur (NTT)
450,Kabupaten Sumba Timur,53.11,Nusa Tenggara Timur (NTT)
451,Kabupaten Sumbawa,52.04,Nusa Tenggara Barat (NTB)
452,Kabupaten Sumbawa Barat,52.07,Nusa Tenggara Barat (NTB)
453,Kabupaten Sumedang,32.11,Jawa Barat
454,Kabupaten Sumenep,35.29,Jawa Timur
455,Kota Sungai Penuh,15.72,Jambi
456,Kabupaten Supiori,91.19,Papua
457,Kota Surabaya,35.78,Jawa Timur
458,Kota Surakarta,33.72,Jawa Tengah
459,Kabupaten Tabalong,63.09,Kalimantan Selatan
460,Kabupaten Tabanan,51.02,Bali
461,Kabupaten Takalar,73.05,Sulawesi Selatan
462,Kabupaten Tambrauw,92.09,Papua Barat Daya
463,Kabupaten Tana Tidung,65.04,Kalimantan Utara
464,Kabupaten Tana Toraja,73.18,Sulawesi Selatan
465,Kabupaten Tanah Bumbu,63.10,Kalimantan Selatan
466,Kabupaten Tanah Datar,13.04,Sumatera Barat
467,Kabupaten Tanah Laut,63.01,Kalimantan Selatan
468,Kota Tangerang,36.71,Banten
469,Kabupaten Tangerang,36.03,Banten
470,Kota Tangerang Selatan,36.74,Banten
471,Kabupaten Tanggamus,18.06,Lampung
472,Kota Tanjung Balai,12.74,Sumatera Utara
473,Kabupaten Tanjung Jabung Barat,15.06,Jambi
474,Kabupaten Tanjung Jabung Timur,15.07,Jambi
475,Kota Tanjung Pinang,21.72,Kepulauan Riau
476,Kabupaten Tapanuli Selatan,12.03,Sumatera Utara
477,Kabupaten Tapanuli Tengah,12.01,Sumatera Utara
478,Kabupaten Tapanuli Utara,12.02,Sumatera Utara
479,Kabupaten Tapin,63.05,Kalimantan Selatan
480,Kota Tarakan,65.71,Kalimantan Utara
481,Kota Tasikmalaya,32.78,Jawa Barat
482,Kabupaten Tasikmalaya,32.06,Jawa Barat
483,Kota Tebing Tinggi,12.76,Sumatera Utara
484,Kabupaten Tebo,15.09,Jambi
